year,reason_for_stop,subject_race
2014,M = Moving violation,white
2014,M = Moving violation,white
2014,M = Moving violation,black
2014,V = Vehicle equipment,white
2014,V = Vehicle equipment,white
2014,M = Moving violation,white
2014,V = Vehicle equipment,white
2014,M = Moving violation,white
2014,V = Vehicle equipment,white
2014,V = Vehicle equipment,white
2014,M = Moving violation,white
2014,M = Moving violation,white
2014,V = Vehicle equipment,asian/pacific islander
2014,M = Moving violation,white
2014,M = Moving violation,black
2014,M = Moving violation,white
2014,M = Moving violation,white
2014,V = Vehicle equipment,white
2014,M = Moving violation,white
2014,V = Vehicle equipment,white
2014,M = Moving violation,white
2014,V = Vehicle equipment,white
2014,V = Vehicle equipment,white
2014,M = Moving violation,white
2014,M = Moving violation,white
2014,M = Moving violation,black
2014,M = Moving violation,white
2014,M = Moving violation,white
2014,V = Vehicle equipment,white
2014,M = Moving violation,white
2014,M = Moving violation,white
2014,M = Moving violation,white
2014,V = Vehicle equipment,white
2014,M = Moving violation,white
2014,M = Moving violation,white
2014,V = Vehicle equipment,white
2014,M = Moving violation,white
2014,M = Moving violation,asian/pacific islander
2014,V = Vehicle equipment,black
2014,V = Vehicle equipment,white
2015,NA|M = Moving violation,white
2015,M = Moving violation,asian/pacific islander
2015,M = Moving violation,asian/pacific islander
2015,M = Moving violation,white
2015,V = Vehicle equipment,white
2015,M = Moving violation,white
2015,V = Vehicle equipment,white
2015,M = Moving violation,white
2015,V = Vehicle equipment,white
2015,M = Moving violation,white
2015,M = Moving violation,white
2015,M = Moving violation,white
2015,M = Moving violation,black
2015,V = Vehicle equipment,white
2015,M = Moving violation,white
2015,M = Moving violation,other
2015,V = Vehicle equipment,white
2015,M = Moving violation,asian/pacific islander
2015,M = Moving violation,white
2015,M = Moving violation,white
2015,M = Moving violation,asian/pacific islander
2015,M = Moving violation,white
2015,M = Moving violation,white
2015,M = Moving violation,white
2016,M = Moving violation,white
2016,M = Moving violation,white
2016,V = Vehicle equipment,white
2016,V = Vehicle equipment,white
2016,V = Vehicle equipment,white
2016,V = Vehicle equipment,white
2016,M = Moving violation,white
2016,V = Vehicle equipment,black
